#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1,-113.11627197265625,431.4493716038004,0.020780882334166598
2,-125.29104614257812,524.0012056609598,0.020780882334166598
3,-135.965576171875,613.8184677922325,0.020780882334166598
4,-145.97573852539062,668.0691413709194,0.020780882334166598
5,-152.43170166015625,712.0842725323039,0.020780882334166598
6,-152.11886596679688,712.1850844081348,0.020780882334166598
7,-145.56210327148438,678.4582776658659,0.020780882334166598
8,-138.64491271972656,645.6464381345563,0.020780882334166598
9,-135.30735778808594,634.3958018304455,0.020780882334166598
10,-134.02703857421875,635.5683246029113,0.020780882334166598
11,-129.8748321533203,622.9704645248659,0.020780882334166598
12,-122.80307006835938,592.8343532034273,0.020780882334166598
13,-118.79478454589844,546.4657983942811,0.020780882334166598
14,-119.81155395507812,546.5986704459415,0.020780882334166598
15,-122.86050415039062,554.3345484016454,0.020780882334166598
16,-123.56094360351562,553.1047319444102,0.020780882334166598
17,-119.58091735839844,527.7748391112308,0.020780882334166598
18,-112.14302062988281,484.4793019093587,0.020780882334166598
19,-105.70108032226562,424.55918545043,0.020780882334166598
20,-102.76838684082031,409.04564134955456,0.020780882334166598
21,-102.63191223144531,402.8179971509292,0.020780882334166598
22,-103.99774169921875,416.9520950598986,0.020780882334166598
23,-105.9481201171875,422.7048723242283,0.020780882334166598
24,-108.74433898925781,452.35635985307124,0.020780882334166598
25,-112.31596374511719,468.028862744978,0.020780882334166598
26,-115.72938537597656,496.26803429382085,0.020780882334166598
27,-117.9296875,502.00802429079806,0.020780882334166598
28,-118.26448059082031,499.8473714569028,0.020780882334166598
29,-116.531982421875,487.2883802269637,0.020780882334166598
30,-114.88363647460938,478.7249655317099,0.020780882334166598
31,-115.48124694824219,477.14060608572765,0.020780882334166598
32,-117.76864624023438,482.3807278256783,0.020780882334166598
33,-117.16580200195312,472.74109248834253,0.020780882334166598
34,-111.2066650390625,424.26698548809605,0.020780882334166598
35,-101.02517700195312,351.53627087406807,0.020780882334166598
36,-90.73355102539062,287.5790697578813,0.020780882334166598
37,-85.43629455566406,263.20388554084866,0.020780882334166598
38,-87.87944030761719,275.8832305539716,0.020780882334166598
39,-96.83674621582031,324.0660069520757,0.020780882334166598
40,-108.10182189941406,389.5089730203426,0.020780882334166598
41,-116.89425659179688,429.0290173932009,0.020780882334166598
42,-121.82415771484375,468.65690205188184,0.020780882334166598
43,-124.19940185546875,493.74587031770983,0.020780882334166598
44,-128.26815795898438,526.4895079897923,0.020780882334166598
45,-135.2493896484375,577.9876116633332,0.020780882334166598
46,-141.8896942138672,620.0708501998959,0.020780882334166598
47,-143.53009033203125,625.4337543902918,0.020780882334166598
48,-139.55242919921875,617.0441669769206,0.020780882334166598
49,-135.95962524414062,582.5651046239263,0.020780882334166598
50,-137.16412353515625,605.2439700623534,0.020780882334166598
51,-141.63525390625,633.2379289494023,0.020780882334166598
52,-145.03884887695312,650.4881335711679,0.020780882334166598
53,-146.19061279296875,658.580527553471,0.020780882334166598
54,-147.37692260742188,677.2706646062308,0.020780882334166598
55,-150.11093139648438,705.6823788201942,0.020780882334166598
56,-153.18804931640625,723.0192399270475,0.020780882334166598
57,-152.46829223632812,701.3101670950332,0.020780882334166598
58,-144.95950317382812,632.5742639903469,0.020780882334166598
59,-132.47845458984375,547.024343257191,0.020780882334166598
60,-119.98568725585938,464.7062394895863,0.020780882334166598
61,-111.39291381835938,410.0675914018239,0.020780882334166598
62,-106.42208862304688,371.121388935451,0.020780882334166598
63,-101.72116088867188,355.4845828022683,0.020780882334166598
